date,time
2023-06-20,15
2023-06-21,14
2023-06-22,15
2023-06-25,15
2023-06-27,18
2023-06-29,19
2023-07-05,18
2023-07-06,14
2023-07-07,9
2023-07-12,18
2023-07-13,10
2023-07-14,8
2023-07-17,9
2023-07-18,15
2023-07-19,16
2023-07-20,10
2023-07-21,8
2023-07-24,9
2023-07-25,18
2023-07-26,17
2023-07-28,18
2023-07-31,9
2023-08-01,15
2023-08-02,16
2023-08-05,12
2023-08-07,9
2023-08-08,18
2023-08-10,11
2023-08-11,17
2023-08-14,9
2023-08-15,15
2023-08-16,19
2023-08-18,16
2023-08-21,9
2023-08-22,18
2023-08-23,11
2023-08-24,16
2023-08-28,8
2023-08-29,16
2023-08-30,17
2023-09-01,15
2023-09-02,18
2023-09-05,19
2023-09-11,8
2023-09-13,16
2023-09-20,19
2023-09-25,9
2023-09-27,12
2023-09-28,9
2023-09-29,13
2023-10-03,14
2023-10-04,12
2023-10-10,18
2023-10-11,12
2023-10-12,9
2023-10-13,12
2023-10-17,14
2023-10-18,12
2023-10-19,9
2023-10-24,15
2023-10-25,12
2023-10-26,9
2023-10-27,12
2023-10-31,14
2023-11-01,12
2023-11-02,9
2023-11-03,12
2023-11-07,14
2023-11-08,12
2023-11-14,15
2023-11-15,12
2023-11-16,9
2023-11-17,12
2023-11-21,15
2023-11-28,14
2023-11-29,12
2023-11-30,9
2023-12-01,12
2023-12-05,14
2023-12-08,12
2023-12-09,10
2024-01-15,10
2024-01-16,9
2024-01-22,10
2024-01-23,8
2024-01-25,12
2024-01-29,10
2024-01-30,9
2024-01-31,16
2024-02-05,10
2024-02-08,12
2024-02-06,9
2024-02-12,10
2024-02-13,8
2024-02-15,13
2024-02-20,9
2024-02-26,10
2024-02-27,9
2024-02-29,13
2024-03-04,10
2024-03-07,13
2024-03-11,10
2024-04-02,10
2024-04-03,9
2024-04-05,12
2024-04-08,12
2024-04-09,10
2024-04-10,9
2024-04-12,13
2024-04-15,17
2024-04-16,10
2024-04-17,8
2024-04-19,13
2024-04-22,12
2024-04-23,10
2024-04-24,9
2024-04-26,13
2024-04-29,12
2024-04-30,10
2024-05-01,9
2024-05-03,13
2024-05-07,10
2024-05-08,9
2024-05-10,13
2024-05-14,10
2024-05-15,9
2024-05-17,13
2024-05-20,12
2024-05-21,9
2024-05-24,13
2024-05-28,9
2024-06-03,12
2024-06-05,9
2024-06-07,13